UDI,Date,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Internal Pressure[MPa],Battery Charging Current[A],coolant temp[C],carbon monoxide content[grams/sec],Oil Viscosity[cSt],Age[days],Machine failure
31,6/5/1994,M14890,M,299.1,309.5,1339,48.2,2.246644295,82.1,0.0086278,10.88812628,869.2,0
32,6/6/1994,L47211,L,299,309.4,1798,25.5,3.016778523,82,0.0045645,5.760315768,846.5,0
33,6/7/1994,L47212,L,299,309.4,1419,48.3,2.380872483,82,0.0086457,10.91071575,869.3,0
34,6/8/1994,L47213,L,298.9,309.3,1665,32.5,2.793624161,81.9,0.0058175,7.34157892,853.5,0
35,6/9/1994,M14894,M,298.8,309.1,1559,34.7,2.615771812,81.7,0.0062113,7.838547339,855.7,0
36,6/10/1994,M14895,M,298.8,309.2,1452,48.6,2.436241611,81.8,0.0086994,10.97848417,869.6,0
37,6/11/1994,M14896,M,298.9,309.2,1581,36.7,2.652684564,81.8,0.0065693,8.290336811,857.7,0
38,6/12/1994,L47217,L,298.8,309.1,1439,39.2,2.41442953,81.7,0.0070168,8.855073651,860.2,0
39,6/13/1994,H29452,H,298.9,309.2,1379,50.7,2.313758389,81.8,0.0090753,11.45286312,871.7,0
40,6/14/1994,L47219,L,298.8,309.1,1350,52.5,2.265100671,81.7,0.0093975,11.85947364,873.5,0
41,6/15/1994,L47220,L,298.8,309.1,1362,45.4,2.285234899,81.7,0.0081266,10.25562101,866.4,0
42,6/16/1994,L47221,L,298.8,309.1,1368,50.8,2.295302013,81.7,0.0090932,11.47545259,871.8,0
43,6/17/1994,M14902,M,298.8,309.1,1368,49.1,2.295302013,81.7,0.0087889,11.09143154,870.1,0
44,6/18/1994,H29457,H,298.8,309.2,1372,48.5,2.302013423,81.8,0.0086815,10.9558947,869.5,0
45,6/19/1994,M14904,M,298.8,309.1,1472,47.5,2.469798658,81.7,0.0085025,10.72999996,868.5,0
46,6/20/1994,L47225,L,298.8,309.1,1489,49.1,2.498322148,81.7,0.0087889,11.09143154,870.1,0
47,6/21/1994,M14906,M,298.7,309,1843,25.8,3.092281879,81.6,0.0046182,5.828084189,846.8,0
48,6/22/1994,L47227,L,298.8,309.1,1418,46.3,2.379194631,81.7,0.0082877,10.45892628,867.3,0
49,6/23/1994,H29462,H,298.8,309.2,1425,53.9,2.390939597,81.8,0.0096481,12.17572627,874.9,0
50,6/24/1994,M14909,M,298.9,309.2,1412,44.1,2.369127517,81.8,0.0078939,9.961957858,865.1,0
51,6/25/1994,L47230,L,298.9,309.1,2861,4.6,4.80033557,81.7,0.0008234,1.039115786,825.6,1
52,6/26/1994,L47231,L,298.9,309.1,1383,54.9,2.320469799,81.7,0.0098271,12.40162101,875.9,0
53,6/27/1994,H29466,H,298.8,309,1497,43.8,2.511744966,81.6,0.0078402,9.894189437,864.8,0
54,6/28/1994,L47233,L,298.7,309,1565,35.1,2.625838926,81.6,0.0062829,7.928905234,856.1,0
55,6/29/1994,L47234,L,298.7,309,1691,30.1,2.837248322,81.6,0.0053879,6.799431554,851.1,0
56,6/30/1994,L47235,L,298.8,309.1,1512,40.7,2.536912752,81.7,0.0072853,9.193915755,861.7,0
57,7/1/1994,L47236,L,298.8,309.1,1477,42.4,2.478187919,81.7,0.0075896,9.577936806,863.4,0
58,7/2/1994,L47237,L,298.8,309.1,1513,40.3,2.538590604,81.7,0.0072137,9.103557861,861.3,0
59,7/3/1994,M14918,M,298.8,309,1661,29.5,2.786912752,81.6,0.0052805,6.663894712,850.5,0
60,7/4/1994,L47239,L,298.8,309.1,1378,54.4,2.312080537,81.7,0.0097376,12.28867364,875.4,0
61,7/5/1994,L47240,L,298.8,309.1,1393,52.6,2.337248322,81.7,0.0094154,11.88206311,873.6,0
62,7/6/1994,M14921,M,298.8,309,1592,38.2,2.67114094,81.6,0.0068378,8.629178915,859.2,0
63,7/7/1994,L47242,L,298.8,309,1829,22.9,3.068791946,81.6,0.0040991,5.172989454,843.9,0
64,7/8/1994,M14923,M,298.9,309,1812,25.9,3.040268456,81.6,0.0046361,5.850673662,846.9,0
65,7/9/1994,L47244,L,299,309.1,1523,38.6,2.555369128,81.7,0.0069094,8.71953681,859.6,0
66,7/10/1994,L47245,L,299,309.1,1394,45.1,2.338926174,81.7,0.0080729,10.18785259,866.1,0
67,7/11/1994,M14926,M,298.9,308.9,1679,28.7,2.817114094,81.5,0.0051373,6.483178923,849.7,0
68,7/12/1994,H29481,H,298.8,308.9,1466,44.1,2.459731544,81.5,0.0078939,9.961957858,865.1,0
69,7/13/1994,L47248,L,298.8,308.9,1527,32.4,2.562080537,81.5,0.0057996,7.318989446,853.4,0
70,7/14/1994,L47249,L,298.9,309,1410,65.7,2.365771812,81.6,0.0117603,14.84128416,886.7,1
71,7/15/1994,M14930,M,298.9,309,1924,22.6,3.228187919,81.6,0.0040454,5.105221034,843.6,0
72,7/16/1994,L47251,L,298.9,309.1,1452,45.5,2.436241611,81.7,0.0081445,10.27821049,866.5,0
73,7/17/1994,L47252,L,298.9,309.1,1369,44.4,2.296979866,81.7,0.0079476,10.02972628,865.4,0
74,7/18/1994,L47253,L,299,309.1,1592,35,2.67114094,81.7,0.006265,7.90631576,856,0
75,7/19/1994,L47254,L,298.9,309,1601,32.3,2.686241611,81.6,0.0057817,7.296399973,853.3,0
76,7/20/1994,L47255,L,298.8,308.9,1379,46.7,2.313758389,81.5,0.0083593,10.54928417,867.7,0
77,7/21/1994,L47256,L,298.8,308.9,1461,47.9,2.451342282,81.5,0.0085741,10.82035785,868.9,0
78,7/22/1994,L47257,L,298.8,308.9,1455,41.3,2.441275168,81.5,0.0073927,9.329452597,862.3,1
79,7/23/1994,L47258,L,298.8,308.9,1398,51.5,2.345637584,81.5,0.0092185,11.6335789,872.5,0
80,7/24/1994,L47259,L,298.8,308.9,1402,37.9,2.352348993,81.5,0.0067841,8.561410494,858.9,0
81,7/25/1994,H29494,H,298.8,308.8,1445,49.9,2.424496644,81.4,0.0089321,11.27214733,870.9,0
82,7/26/1994,L47261,L,298.9,308.9,1450,47.5,2.432885906,81.5,0.0085025,10.72999996,868.5,0
83,7/27/1994,L47262,L,298.9,308.9,1453,40.8,2.437919463,81.5,0.0073032,9.216505229,861.8,0
84,7/28/1994,L47263,L,299,309,1469,40.1,2.464765101,81.6,0.0071779,9.058378914,861.1,0
85,7/29/1994,L47264,L,298.9,308.9,1422,47.6,2.38590604,81.5,0.0085204,10.75258943,868.6,0
86,7/30/1994,M14945,M,299,309,1804,26.8,3.026845638,81.6,0.0047972,6.053978925,847.8,0
87,7/31/1994,H29500,H,299,309,1436,43.9,2.409395973,81.6,0.0078581,9.91677891,864.9,0
88,8/1/1994,L47267,L,299,309,1544,31.8,2.590604027,81.6,0.0056922,7.183452605,852.8,0
89,8/2/1994,M14948,M,299,309,1419,45.2,2.380872483,81.6,0.0080908,10.21044207,866.2,0
90,8/3/1994,M14949,M,298.9,308.9,1487,39.5,2.494966443,81.5,0.0070705,8.922842072,860.5,0
91,8/4/1994,L47270,L,298.9,308.9,1753,25.8,2.941275168,81.5,0.0046182,5.828084189,846.8,0
92,8/5/1994,L47271,L,298.9,308.9,1830,24.9,3.070469799,81.5,0.0044571,5.624778926,845.9,0
93,8/6/1994,M14952,M,298.9,308.9,1727,27.1,2.897651007,81.5,0.0048509,6.121747346,848.1,0
94,8/7/1994,L47273,L,299.1,309,1450,43,2.432885906,81.6,0.007697,9.713473648,864,0
95,8/8/1994,L47274,L,299,308.9,1622,31.9,2.72147651,81.5,0.0057101,7.206042078,852.9,0
96,8/9/1994,M14955,M,299,309,1351,52.2,2.266778523,81.6,0.0093438,11.79170522,873.2,0
97,8/10/1994,M14956,M,299,309,1575,35.3,2.64261745,81.6,0.0063187,7.974084181,856.3,0
98,8/11/1994,M14957,M,298.9,308.9,1750,29.9,2.936241611,81.5,0.0053521,6.754252606,850.9,0
99,8/12/1994,L47278,L,298.9,308.8,1529,32.7,2.565436242,81.4,0.0058533,7.386757867,853.7,0
100,8/13/1994,L47279,L,298.8,308.8,1523,44.4,2.555369128,81.4,0.0079476,10.02972628,865.4,0
101,8/14/1994,L47280,L,298.8,308.9,1852,25,3.10738255,81.5,0.004475,5.6473684,846,0
102,8/15/1994,L47281,L,298.8,308.8,1991,20.7,3.340604027,81.4,0.0037053,4.676021035,841.7,0
103,8/16/1994,L47282,L,298.8,308.8,1555,40.6,2.609060403,81.4,0.0072674,9.171326282,861.6,0
104,8/17/1994,M14963,M,298.8,308.8,1441,40.5,2.417785235,81.4,0.0072495,9.148736808,861.5,0
105,8/18/1994,L47284,L,298.8,308.7,1450,43.4,2.432885906,81.3,0.0077686,9.803831542,864.4,0
106,8/19/1994,L47285,L,298.8,308.7,1591,31.1,2.669463087,81.3,0.0055669,7.02532629,852.1,0
107,8/20/1994,L47286,L,298.8,308.7,1445,48.5,2.424496644,81.3,0.0086815,10.9558947,869.5,0
108,8/21/1994,M14967,M,298.8,308.8,1497,46.8,2.511744966,81.4,0.0083772,10.57187364,867.8,0
109,8/22/1994,H29522,H,298.9,308.8,1621,32.7,2.719798658,81.4,0.0058533,7.386757867,853.7,0
110,8/23/1994,L47289,L,298.9,308.7,1572,34.1,2.637583893,81.3,0.0061039,7.703010498,855.1,0
111,8/24/1994,L47290,L,298.8,308.6,1872,22.5,3.140939597,81.2,0.0040275,5.08263156,843.5,0
112,8/25/1994,H29525,H,298.7,308.6,1499,43.5,2.515100671,81.2,0.0077865,9.826421016,864.5,0
113,8/26/1994,M14972,M,298.8,308.7,1498,39.5,2.513422819,81.3,0.0070705,8.922842072,860.5,0
114,8/27/1994,M14973,M,298.8,308.6,1486,41.9,2.493288591,81.2,0.0075001,9.464989438,862.9,0
115,8/28/1994,L47294,L,298.8,308.6,1680,29.4,2.818791946,81.2,0.0052626,6.641305238,850.4,0
116,8/29/1994,L47295,L,298.8,308.6,1431,45.7,2.401006711,81.2,0.0081803,10.32338944,866.7,0
117,8/30/1994,L47296,L,298.9,308.7,1564,34.1,2.624161074,81.3,0.0061039,7.703010498,855.1,0
118,8/31/1994,L47297,L,298.8,308.6,1599,33,2.682885906,81.2,0.005907,7.454526288,854,0
119,9/1/1994,M14978,M,298.8,308.6,1707,28.1,2.86409396,81.2,0.0050299,6.347642082,849.1,0
120,9/2/1994,L47299,L,298.7,308.5,1467,40.7,2.461409396,81.1,0.0072853,9.193915755,861.7,0
121,9/3/1994,L47300,L,298.9,308.7,1433,44.7,2.404362416,81.3,0.0080013,10.0974947,865.7,0
122,9/4/1994,L47301,L,298.9,308.7,1558,41.2,2.61409396,81.3,0.0073748,9.306863123,862.2,0
123,9/5/1994,L47302,L,299,308.8,1310,50.7,2.197986577,81.4,0.0090753,11.45286312,871.7,0
124,9/6/1994,L47303,L,298.9,308.7,1546,43.4,2.593959732,81.3,0.0077686,9.803831542,864.4,0
125,9/7/1994,L47304,L,298.9,308.7,1727,29.4,2.897651007,81.3,0.0052626,6.641305238,850.4,0
126,9/8/1994,L47305,L,298.9,308.6,1560,32.2,2.617449664,81.2,0.0057638,7.273810499,853.2,0
127,9/9/1994,L47306,L,299,308.6,1329,60.5,2.229865772,81.2,0.0108295,13.66663153,881.5,0
128,9/10/1994,L47307,L,298.9,308.6,1413,46.5,2.370805369,81.2,0.0083235,10.50410522,867.5,0
129,9/11/1994,L47308,L,299,308.6,1587,38.6,2.662751678,81.2,0.0069094,8.71953681,859.6,0
130,9/12/1994,L47309,L,298.9,308.5,1559,34.3,2.615771812,81.1,0.0061397,7.748189445,855.3,0
131,9/13/1994,L47310,L,298.8,308.4,1473,41.1,2.47147651,81,0.0073569,9.28427365,862.1,0
132,9/14/1994,L47311,L,298.8,308.4,1737,27.7,2.91442953,81,0.0049583,6.257284187,848.7,0
133,9/15/1994,M14992,M,298.7,308.4,1441,43.2,2.417785235,81,0.0077328,9.758652595,864.2,0
134,9/16/1994,M14993,M,298.7,308.4,1430,49.6,2.399328859,81,0.0088784,11.20437891,870.6,0
135,9/17/1994,L47314,L,298.8,308.4,1369,53,2.296979866,81,0.009487,11.97242101,874,0
136,9/18/1994,M14995,M,298.8,308.5,1711,28.5,2.870805369,81.1,0.0051015,6.437999976,849.5,0
137,9/19/1994,H29550,H,298.7,308.5,1420,45.7,2.382550336,81.1,0.0081803,10.32338944,866.7,0
138,9/20/1994,L47317,L,298.7,308.6,1297,55.3,2.176174497,81.2,0.0098987,12.4919789,876.3,0
139,9/21/1994,H29552,H,298.8,308.6,1449,49.4,2.431208054,81.2,0.0088426,11.15919996,870.4,0
140,9/22/1994,L47319,L,298.8,308.6,1268,55.8,2.127516779,81.2,0.0099882,12.60492627,876.8,0
141,9/23/1994,L47320,L,298.8,308.6,1511,36.1,2.535234899,81.2,0.0064619,8.15479997,857.1,0
142,9/24/1994,L47321,L,298.7,308.5,1544,35.2,2.590604027,81.1,0.0063008,7.951494707,856.2,0
143,9/25/1994,M15002,M,298.6,308.4,1778,28.2,2.983221477,81,0.0050478,6.370231555,849.2,0
144,9/26/1994,H29557,H,298.6,308.4,1407,50.5,2.360738255,81,0.0090395,11.40768417,871.5,0
145,9/27/1994,M15004,M,298.6,308.4,1391,42.4,2.333892617,81,0.0075896,9.577936806,863.4,0
146,9/28/1994,L47325,L,298.5,308.4,1513,33.6,2.538590604,81,0.0060144,7.59006313,854.6,0
147,9/29/1994,H29560,H,298.5,308.4,1612,36.1,2.704697987,81,0.0064619,8.15479997,857.1,0
148,9/30/1994,L47327,L,298.4,308.4,1515,40.1,2.541946309,81,0.0071779,9.058378914,861.1,0
149,10/1/1994,M15008,M,298.3,308.3,1379,48,2.313758389,80.9,0.008592,10.84294733,869,0
150,10/2/1994,L47329,L,298.4,308.3,1473,39.9,2.47147651,80.9,0.0071421,9.013199966,860.9,0
151,10/3/1994,L47330,L,298.4,308.3,1422,42.7,2.38590604,80.9,0.0076433,9.645705227,863.7,0
152,10/4/1994,M15011,M,298.4,308.2,1463,37.6,2.454697987,80.8,0.0067304,8.493642074,858.6,0
153,10/5/1994,M15012,M,298.4,308.2,1584,41,2.657718121,80.8,0.007339,9.261684176,862,0
154,10/6/1994,L47333,L,298.4,308.2,1850,27,3.104026846,80.8,0.004833,6.099157872,848,0
155,10/7/1994,L47334,L,298.4,308.2,1528,36.2,2.563758389,80.8,0.0064798,8.177389443,857.2,0
156,10/8/1994,H29569,H,298.4,308.2,1987,19.8,3.333892617,80.8,0.0035442,4.472715773,840.8,0
157,10/9/1994,M15016,M,298.4,308.1,1495,46,2.508389262,80.7,0.008234,10.39115786,867,0
158,10/10/1994,H29571,H,298.4,308.2,1478,43.5,2.479865772,80.8,0.0077865,9.826421016,864.5,0
159,10/11/1994,M15018,M,298.4,308.2,1499,40,2.515100671,80.8,0.00716,9.03578944,861,0
160,10/12/1994,L47339,L,298.4,308.2,1471,47,2.468120805,80.8,0.008413,10.61705259,868,0
161,10/13/1994,L47340,L,298.4,308.2,1282,60.7,2.151006711,80.8,0.0108653,13.71181048,881.7,1
162,10/14/1994,L47341,L,298.3,308.1,1412,52.3,2.369127517,80.7,0.0093617,11.81429469,873.3,1
163,10/15/1994,L47342,L,298.3,308.1,1586,35.5,2.661073826,80.7,0.0063545,8.019263128,856.5,0
164,10/16/1994,M15023,M,298.4,308.2,1468,43.8,2.463087248,80.8,0.0078402,9.894189437,864.8,0
165,10/17/1994,M15024,M,298.5,308.3,1440,43.6,2.416107383,80.9,0.0078044,9.84901049,864.6,0
166,10/18/1994,L47345,L,298.5,308.4,1733,26,2.907718121,81,0.004654,5.873263136,847,0
167,10/19/1994,H29580,H,298.4,308.2,1612,32.6,2.704697987,80.8,0.0058354,7.364168394,853.6,0
168,10/20/1994,H29581,H,298.4,308.3,1458,42.9,2.446308725,80.9,0.0076791,9.690884174,863.9,0
169,10/21/1994,L47348,L,298.4,308.3,1433,62.3,2.404362416,80.9,0.0111517,14.07324205,883.3,1
170,10/22/1994,L47349,L,298.4,308.3,1318,59.1,2.211409396,80.9,0.0105789,13.3503789,880.1,0
171,10/23/1994,M15030,M,298.4,308.2,1610,35,2.701342282,80.8,0.006265,7.90631576,856,0
172,10/24/1994,L47351,L,298.2,308.1,1462,50.8,2.453020134,80.7,0.0090932,11.47545259,871.8,0
173,10/25/1994,M15032,M,298.1,308,1924,20.8,3.228187919,80.6,0.0037232,4.698610509,841.8,0
174,10/26/1994,M15033,M,298.2,308,1591,33.7,2.669463087,80.6,0.0060323,7.612652603,854.7,0
175,10/27/1994,L47354,L,298.2,308.1,1306,58.3,2.191275168,80.7,0.0104357,13.16966311,879.3,0
176,10/28/1994,L47355,L,298.2,308.1,1382,43.5,2.318791946,80.7,0.0077865,9.826421016,864.5,0
177,10/29/1994,L47356,L,298.2,308.1,1618,34.7,2.714765101,80.7,0.0062113,7.838547339,855.7,0
178,10/30/1994,L47357,L,298.2,308.2,1988,21.4,3.33557047,80.8,0.0038306,4.83414735,842.4,0
179,10/31/1994,L47358,L,298.2,308.2,1436,50.2,2.409395973,80.8,0.0089858,11.33991575,871.2,0
180,11/1/1994,L47359,L,298.2,308.3,1304,49.8,2.187919463,80.9,0.0089142,11.24955785,870.8,0
181,11/2/1994,L47360,L,298.2,308.3,1475,49.9,2.474832215,80.9,0.0089321,11.27214733,870.9,0
182,11/3/1994,H29595,H,298.2,308.3,1824,24.2,3.060402685,80.9,0.0043318,5.466652611,845.2,0
183,11/4/1994,M15042,M,298.1,308.2,1342,48.1,2.251677852,80.8,0.0086099,10.8655368,869.1,0
184,11/5/1994,L47363,L,298.1,308.2,1485,40.7,2.491610738,80.8,0.0072853,9.193915755,861.7,0
185,11/6/1994,L47364,L,298.2,308.2,1667,30.6,2.796979866,80.8,0.0054774,6.912378922,851.6,0
186,11/7/1994,L47365,L,298.2,308.2,1446,38.2,2.426174497,80.8,0.0068378,8.629178915,859.2,0
187,11/8/1994,L47366,L,298.1,308.3,1301,56,2.182885906,80.9,0.010024,12.65010522,877,0
188,11/9/1994,L47367,L,298.2,308.4,1379,43.1,2.313758389,81,0.0077149,9.736063122,864.1,0
189,11/10/1994,L47368,L,298.3,308.5,1606,33.6,2.694630872,81.1,0.0060144,7.59006313,854.6,0
190,11/11/1994,M15049,M,298.3,308.4,1539,43.4,2.582214765,81,0.0077686,9.803831542,864.4,0
191,11/12/1994,L47370,L,298.2,308.4,1477,49.9,2.478187919,81,0.0089321,11.27214733,870.9,0
192,11/13/1994,L47371,L,298.2,308.4,1666,34.6,2.795302013,81,0.0061934,7.815957866,855.6,0
193,11/14/1994,H29606,H,298.2,308.4,1398,51.8,2.345637584,81,0.0092722,11.70134732,872.8,0
194,11/15/1994,H29607,H,298.2,308.4,1678,34.6,2.815436242,81,0.0061934,7.815957866,855.6,0
195,11/16/1994,M15054,M,298.2,308.5,2678,10.7,4.493288591,81.1,0.0019153,2.417073675,831.7,1
196,11/17/1994,L47375,L,298.3,308.5,1453,42.9,2.437919463,81.1,0.0076791,9.690884174,863.9,0
197,11/18/1994,H29610,H,298.3,308.6,1432,49.5,2.402684564,81.2,0.0088605,11.18178943,870.5,0
198,11/19/1994,M15057,M,298.4,308.6,1527,40.9,2.562080537,81.2,0.0073211,9.239094702,861.9,0
199,11/20/1994,L47378,L,298.4,308.7,1588,35,2.66442953,81.3,0.006265,7.90631576,856,0
200,11/21/1994,L47379,L,298.4,308.6,1433,47.1,2.404362416,81.2,0.0084309,10.63964207,868.1,0
201,11/22/1994,L47380,L,298.4,308.6,1609,35,2.69966443,81.2,0.006265,7.90631576,856,0
202,11/23/1994,L47381,L,298.3,308.5,1575,41.2,2.64261745,81.1,0.0073748,9.306863123,862.2,0
203,11/24/1994,M15062,M,298.4,308.5,1636,35.7,2.744966443,81.1,0.0063903,8.064442075,856.7,0
204,11/25/1994,L47383,L,298.4,308.5,1490,37.9,2.5,81.1,0.0067841,8.561410494,858.9,0
205,11/26/1994,L47384,L,298.4,308.5,1741,32.8,2.92114094,81.1,0.0058712,7.409347341,853.8,0
206,11/27/1994,M15065,M,298.5,308.6,1344,53,2.255033557,81.2,0.009487,11.97242101,874,0
207,11/28/1994,L47386,L,298.5,308.7,1609,35.3,2.69966443,81.3,0.0063187,7.974084181,856.3,0
208,11/29/1994,M15067,M,298.4,308.7,1421,60.7,2.384228188,81.3,0.0108653,13.71181048,881.7,1
209,11/30/1994,L47388,L,298.4,308.6,1591,36.7,2.669463087,81.2,0.0065693,8.290336811,857.7,0
210,12/1/1994,L47389,L,298.4,308.6,1477,44,2.478187919,81.2,0.007876,9.939368384,865,0
211,12/2/1994,L47390,L,298.4,308.7,1523,36.1,2.555369128,81.3,0.0064619,8.15479997,857.1,0
212,12/3/1994,L47391,L,298.5,308.7,1575,33.9,2.64261745,81.3,0.0060681,7.65783155,854.9,0
213,12/4/1994,H29626,H,298.4,308.7,1344,52.9,2.255033557,81.3,0.0094691,11.94983153,873.9,0
214,12/5/1994,L47393,L,298.4,308.7,1386,44.9,2.325503356,81.3,0.0080371,10.14267365,865.9,0
215,12/6/1994,M15074,M,298.3,308.6,1589,37.1,2.666107383,81.2,0.0066409,8.380694706,858.1,0
216,12/7/1994,L47395,L,298.3,308.6,1548,40.3,2.597315436,81.2,0.0072137,9.103557861,861.3,0
217,12/8/1994,L47396,L,298.3,308.6,1499,38.3,2.515100671,81.2,0.0068557,8.651768389,859.3,0
218,12/9/1994,L47397,L,298.3,308.5,1664,31.6,2.791946309,81.1,0.0056564,7.138273658,852.6,0
219,12/10/1994,L47398,L,298.3,308.6,1447,38.1,2.427852349,81.2,0.0068199,8.606589442,859.1,0
220,12/11/1994,M15079,M,298.3,308.5,1434,46.2,2.406040268,81.1,0.0082698,10.4363368,867.2,0
221,12/12/1994,L47400,L,298.3,308.5,1416,52.7,2.375838926,81.1,0.0094333,11.90465259,873.7,0
222,12/13/1994,H29635,H,298.4,308.5,1827,24.3,3.065436242,81.1,0.0043497,5.489242085,845.3,0
223,12/14/1994,L47402,L,298.4,308.6,1304,45,2.187919463,81.2,0.008055,10.16526312,866,0
224,12/15/1994,L47403,L,298.4,308.6,1569,34.4,2.632550336,81.2,0.0061576,7.770778918,855.4,0
225,12/16/1994,L47404,L,298.3,308.6,1584,29.3,2.657718121,81.2,0.0052447,6.618715765,850.3,0
226,12/17/1994,L47405,L,298.3,308.5,1362,53.8,2.285234899,81.1,0.0096302,12.1531368,874.8,0
227,12/18/1994,L47406,L,298.3,308.4,1329,49.2,2.229865772,81,0.0088068,11.11402101,870.2,0
228,12/19/1994,L47407,L,298.3,308.5,1539,36.1,2.582214765,81.1,0.0064619,8.15479997,857.1,0
229,12/20/1994,M15088,M,298.3,308.5,1629,37.1,2.733221477,81.1,0.0066409,8.380694706,858.1,0
230,12/21/1994,L47409,L,298.3,308.5,1538,32.2,2.580536913,81.1,0.0057638,7.273810499,853.2,0
231,12/22/1994,L47410,L,298.3,308.6,1570,34.8,2.634228188,81.2,0.0062292,7.861136813,855.8,0
232,12/23/1994,L47411,L,298.3,308.4,1408,43.1,2.362416107,81,0.0077149,9.736063122,864.1,0
233,12/24/1994,L47412,L,298.2,308.4,1424,47.6,2.389261745,81,0.0085204,10.75258943,868.6,0
234,12/25/1994,L47413,L,298.2,308.4,1512,34.9,2.536912752,81,0.0062471,7.883726286,855.9,0
235,12/26/1994,L47414,L,298.2,308.4,1478,42.9,2.479865772,81,0.0076791,9.690884174,863.9,0
236,12/27/1994,M15095,M,298.1,308.3,1680,33.7,2.818791946,80.9,0.0060323,7.612652603,854.7,0
237,12/28/1994,L47416,L,298.1,308.3,1495,38.7,2.508389262,80.9,0.0069273,8.742126283,859.7,0
238,12/29/1994,M15097,M,298,308.1,1552,36.6,2.604026846,80.7,0.0065514,8.267747338,857.6,0
239,12/30/1994,L47418,L,297.9,308.1,1393,50.3,2.337248322,80.7,0.0090037,11.36250522,871.3,0
240,12/31/1994,L47419,L,298,308.2,1611,30.6,2.703020134,80.8,0.0054774,6.912378922,851.6,0
241,1/1/1995,M15100,M,298,308.1,1339,51.6,2.246644295,80.7,0.0092364,11.65616838,872.6,0
242,1/2/1995,L47421,L,298,308.1,1777,24.3,2.981543624,80.7,0.0043497,5.489242085,845.3,0
